iter	Passed	Remaining
417	2689	3745
418	2695	3738
419	2702	3731
420	2708	3724
421	2714	3717
422	2720	3710
423	2726	3703
424	2732	3697
425	2739	3690
426	2745	3684
427	2751	3677
428	2757	3670
429	2763	3663
430	2769	3656
431	2775	3649
432	2781	3642
433	2788	3636
434	2794	3630
435	2803	3626
436	2809	3620
437	2816	3613
438	2823	3608
439	2830	3602
440	2836	3595
441	2842	3588
442	2849	3582
443	2855	3575
444	2861	3569
445	2868	3562
446	2874	3555
447	2880	3548
448	2885	3541
449	2891	3533
450	2897	3526
451	2903	3520
452	2909	3513
453	2915	3506
454	2921	3499
455	2927	3492
456	2933	3485
457	2939	3479
458	2946	3472
459	2952	3466
460	2958	3459
461	2964	3452
462	2971	3446
463	2977	3439
464	2983	3432
465	2989	3425
466	2995	3418
467	3001	3411
468	3007	3404
469	3013	3398
470	3019	3391
471	3025	3384
472	3030	3377
473	3037	3370
474	3043	3364
475	3049	3356
476	3055	3349
477	3061	3343
478	3067	3336
479	3073	3329
480	3079	3323
481	3086	3316
482	3092	3309
483	3097	3302
484	3104	3296
485	3110	3289
486	3116	3283
487	3123	3276
488	3129	3270
489	3135	3263
490	3141	3257
491	3148	3251
492	3154	3244
493	3161	3237
494	3167	3231
495	3174	3225
496	3180	3218
497	3186	3211
498	3192	3205
499	3199	3199
500	3206	3193
501	3213	3188
502	3220	3182
503	3227	3176
504	3235	3171
505	3241	3164
506	3250	3160
507	3257	3154
508	3264	3149
509	3271	3143
510	3278	3136
511	3285	3131
512	3292	3125
513	3301	3121
514	3308	3115
515	3315	3110
516	3322	3103
517	3330	3098
518	3337	3093
519	3344	3086
520	3352	3081
521	3361	3077
522	3368	3072
523	3375	3066
524	3383	3061
525	3389	3054
526	3397	3049
527	3405	3044
528	3413	3039
529	3421	3034
530	3429	3029
531	3437	3023
532	3445	3019
533	3454	3014
534	3463	3010
535	3471	3005
536	3479	2999
537	3487	2994
538	3495	2989
539	3502	2983
540	3510	2978
541	3518	2973
542	3526	2967
543	3533	2961
544	3540	2956
545	3547	2949
546	3554	2943
547	3561	2937
548	3568	2931
549	3575	2925
550	3582	2919
551	3589	2912
552	3595	2906
553	3602	2900
554	3609	2894
555	3617	2888
556	3624	2882
557	3631	2876
558	3638	2870
559	3645	2864
560	3652	2858
561	3658	2851
562	3665	2844
563	3671	2838
564	3677	2831
565	3684	2825
566	3691	2818
567	3698	2812
568	3705	2806
569	3711	2799
570	3718	2793
571	3724	2786
572	3730	2779
573	3736	2772
574	3742	2766
575	3749	2759
576	3754	2752
577	3760	2745
578	3767	2739
579	3773	2732
580	3779	2725
581	3785	2718
582	3791	2712
583	3798	2705
584	3804	2698
585	3810	2692
586	3817	2685
587	3823	2679
588	3829	2672
589	3835	2665
590	3841	2658
591	3848	2652
592	3854	2645
593	3861	2639
594	3867	2632
595	3873	2625
596	3879	2618
597	3885	2611
598	3891	2605
599	3897	2598
600	3903	2591
601	3909	2584
602	3915	2577
603	3920	2570
604	3927	2563
605	3933	2557
606	3938	2550
607	3944	2543
608	3950	2536
609	3956	2529
610	3962	2522
611	3967	2515
612	3973	2508
613	3979	2501
614	3985	2494
615	3990	2487
616	3996	2480
617	4002	2473
618	4008	2467
619	4014	2460
620	4020	2453
621	4026	2446
622	4032	2440
623	4038	2433
624	4044	2426
625	4050	2419
626	4055	2412
627	4061	2405
628	4067	2398
629	4072	2392
630	4078	2385
631	4084	2378
632	4089	2371
633	4096	2364
634	4102	2358
635	4109	2351
636	4114	2344
637	4122	2338
638	4129	2332
639	4136	2326
640	4142	2320
641	4148	2313
642	4155	2307
643	4161	2300
644	4167	2293
645	4173	2287
646	4179	2280
647	4185	2273
648	4191	2267
649	4197	2260
650	4203	2253
651	4210	2247
652	4216	2240
653	4223	2234
654	4229	2227
655	4235	2220
656	4241	2214
657	4247	2207
658	4253	2200
659	4259	2194
660	4265	2187
661	4271	2180
662	4277	2174
663	4283	2167
664	4289	2160
665	4295	2154
666	4301	2147
667	4308	2141
668	4314	2134
669	4321	2128
670	4328	2122
671	4333	2115
672	4339	2108
673	4345	2101
674	4351	2095
675	4357	2088
676	4364	2082
677	4370	2075
678	4376	2068
679	4382	2062
680	4388	2055
681	4395	2049
682	4401	2042
683	4407	2036
684	4413	2029
685	4419	2023
686	4426	2016
687	4432	2010
688	4438	2003
689	4444	1996
690	4449	1989
691	4456	1983
692	4462	1977
693	4468	1970
694	4475	1964
695	4481	1957
696	4487	1950
697	4493	1943
698	4498	1937
699	4504	1930
700	4511	1924
701	4517	1917
702	4523	1911
703	4529	1904
704	4536	1898
705	4542	1891
706	4548	1884
707	4554	1878
708	4559	1871
709	4565	1864
710	4572	1858
711	4578	1851
712	4584	1845
713	4589	1838
714	4595	1831
715	4601	1825
716	4607	1818
717	4613	1812
718	4620	1805
719	4626	1799
720	4632	1792
721	4639	1786
722	4645	1779
723	4651	1773
724	4657	1766
725	4663	1759
726	4669	1753
727	4675	1746
728	4680	1740
729	4686	1733
730	4692	1726
731	4698	1720
732	4704	1713
733	4711	1707
734	4718	1701
735	4725	1694
736	4732	1688
737	4738	1682
738	4745	1675
739	4751	1669
740	4758	1663
741	4763	1656
742	4770	1650
743	4776	1643
744	4783	1637
745	4789	1630
746	4795	1624
747	4801	1617
748	4806	1610
749	4812	1604
750	4818	1597
751	4824	1591
752	4831	1584
753	4837	1578
754	4843	1571
755	4849	1565
756	4854	1558
757	4860	1551
758	4867	1545
759	4872	1538
760	4878	1532
761	4884	1525
762	4891	1519
763	4896	1512
764	4902	1505
765	4908	1499
766	4915	1493
767	4921	1486
768	4927	1480
769	4934	1474
770	4941	1467
771	4946	1461
772	4952	1454
773	4958	1447
774	4965	1441
775	4970	1434
776	4976	1428
777	4982	1421
778	4988	1415
779	4993	1408
780	5000	1402
781	5006	1395
782	5012	1389
783	5018	1382
784	5024	1376
785	5029	1369
786	5035	1362
787	5041	1356
788	5048	1349
789	5053	1343
790	5059	1336
791	5065	1330
792	5071	1323
793	5078	1317
794	5084	1311
795	5090	1304
796	5097	1298
797	5103	1291
798	5108	1285
799	5114	1278
800	5120	1272
801	5127	1266
802	5134	1259
803	5140	1253
804	5147	1246
805	5152	1240
806	5158	1233
807	5164	1227
808	5170	1220
809	5176	1214
810	5182	1207
811	5188	1201
812	5194	1194
813	5201	1188
814	5206	1181
815	5213	1175
816	5219	1169
817	5225	1162
818	5232	1156
819	5238	1149
820	5245	1143
821	5251	1137
822	5257	1130
823	5263	1124
824	5270	1117
825	5276	1111
826	5281	1104
827	5287	1098
828	5294	1092
829	5300	1085
830	5306	1079
831	5312	1072
832	5318	1066
833	5325	1060
834	5332	1053
835	5339	1047
836	5346	1041
837	5353	1034
838	5360	1028
839	5366	1022
840	5373	1015
841	5380	1009
842	5387	1003
843	5394	997
844	5400	990
845	5406	984
846	5413	977
847	5420	971
848	5426	965
849	5433	958
850	5440	952
851	5448	946
852	5456	940
853	5463	934
854	5470	927
855	5476	921
856	5484	915
857	5490	908
858	5497	902
859	5504	896
860	5510	889
861	5517	883
862	5524	877
863	5531	870
864	5538	864
865	5545	858
866	5552	851
867	5559	845
868	5565	839
869	5572	832
870	5577	826
871	5584	819
872	5591	813
873	5597	806
874	5603	800
875	5608	793
876	5615	787
877	5621	781
878	5627	774
879	5633	768
880	5640	761
881	5646	755
882	5653	749
883	5659	742
884	5665	736
885	5671	729
886	5678	723
887	5684	716
888	5690	710
889	5696	704
890	5703	697
